e0d16f274fbf84050162cd7e765d30bd,"Multistate"
s113bd26,"B. Analyze the interests, values, and points of view of those involved in the dilemma or problem situation."
s113bd27,"C. Identify causes of the problem or dilemma."
s113bd28,"D. Propose alternative ways of resolving the problem or dilemma and evaluate each in terms of ethical consideration (is it fair? just?), the interest of the different people involved, and the likely consequences of each proposal."
s113bd29,"E. Formulate a position or course of action on an issue by identifying the nature of the problem, analyzing the underlying factors contributing to the problem, and choosing a plausible solution from a choice of carefully evaluated options."
s113bd2a,"F. Identify the solution chosen by characters in the story or in the historical situation; or, recommend a course of action themselves."
s113bd2b,"G. Evaluate the consequences of the actions taken."
s113bd44,"A. Identify issues and problems in the past and analyze the interests, values, perspectives, and points of view of those involved in the situation."
s113bd45,"B. Marshal evidence of antecedent circumstances and current factors contributing to contemporary problems and alternative courses of action."
s113bd46,"C. Identify relevant historical antecedents and differentiate from those that are inappropriate and irrelevant to contemporary issues."
s113bd47,"D. Evaluate alternative courses of action, keeping in mind the information available at the time, in terms of ethical considerations, the interests of those affected by the decision, and the long- and short-term consequences of each."
s113bd48,"F. Evaluate the implementation of a decision by analyzing the interests it served; estimating the position, power, and priority of each player involved; assessing the ethical dimensions of the decision; and evaluating its costs and benefits from a variety of perspectives."
s113bcfa,"Standards in History for Grades K-4 (Content Standards)"
s113bd49,"Topic 1: Living and Working Together in Families and Communities, Now and Long Ago"
s113bd4d,"STANDARD 1<br /> Family life now and in the recent past; family life in various places long ago."
s113bd55,"Standard 1A: The student understands family life now and in the recent past; family life in various places long ago."
s113bd6a,"Investigate a family history for at least two generations, identifying various members and their connections in order to construct a timeline. (Teachers should help students understand that families are people from whom they receive love and support. Understanding that many students are raised in nontraditional family structures--i.e., single-parent families, foster homes, guardians raising children--teachers must be sensitive and protect family privacy.) [Establish temporal order]"
